hexid	date	distToFront	geometry
1373	2020-09-17	0	c(-1040016.43209495, -1033351.74537515, 5627878.10172332, 5650821.59817695)
1373	2020-09-17	0	c(-1030192.38961903, -1040016.43209495, 5612612.72283877, 5627878.10172332)
1400	2020-09-17	0	c(-1036768.96328473, -1030192.38961903, 5589648.06146561, 5612612.72283877)
1400	2020-09-17	0	c(-1026806.61629611, -1036768.96328473, 5574399.19549213, 5589648.06146561)
1400	2020-09-17	0	c(-1010339.0532074, -1026806.61629611, 5582162.79753793, 5574399.19549213)
1455	2020-09-17	18205.882313318994	c(-1000310.2886526, -1010339.0532074, 5566978.66401566, 5582162.79753793)
1482	2020-09-17	0	c(-1006678.02594854, -1000310.2886526, 5543983.71602907, 5566978.66401566)
1482	2020-09-17	0	c(-996512.316647073, -1006678.02594854, 5528817.50218745, 5543983.71602907)
1482	2020-09-17	0	c(-980049.893140128, -996512.316647073, 5536693.06013482, 5528817.50218745)
1482	2020-09-17	0	c(-973802.692473719, -980049.893140128, 5559697.44206214, 5536693.06013482)
1511	2020-09-17	0	c(-957444.662171436, -973802.692473719, 5567609.95858693, 5559697.44206214)
1511	2020-09-17	0	c(-951231.331980541, -957444.662171436, 5590605.08612733, 5567609.95858693)
1539	2020-09-17	18085.171512359637	c(-934977.95660554, -951231.331980541, 5598554.95597738, 5590605.08612733)
1539	2020-09-17	18085.171512359637	c(-928798.96985572, -934977.95660554, 5621541.34277333, 5598554.95597738)
2615	2020-09-17	0	c(-472460.18999365, -468437.240094192, 5424139.52218133, 5447274.16361436)
2616	2020-09-17	0	c(-460354.19805718, -456294.219582374, 5493532.73520538, 5516656.67504973)
2615	2020-09-17	0	c(-461047.435154414, -472460.18999365, 5410261.49550591, 5424139.52218133)
2644	2020-09-17	0	c(-464994.850695856, -461047.435154414, 5387119.30154164, 5410261.49550591)
2615	2020-09-17	0	c(-468437.240094192, -453115.674456142, 5447274.16361436, 5456535.51601598)
2616	2020-09-17	0	c(-449131.440827754, -460354.19805718, 5479667.35131648, 5493532.73520538)
2645	2020-09-17	17838.137520978384	c(-453115.674456142, -449131.440827754, 5456535.51601598, 5479667.35131648)
2644	2020-09-17	0	c(-453457.979281479, -464994.850695856, 5373267.35667762, 5387119.30154164)
2644	2020-09-17	0	c(-438038.418094812, -453457.979281479, 5382595.24354707, 5373267.35667762)
2703	2020-09-17	0	c(-426442.620861386, -438038.418094812, 5368807.249333, 5382595.24354707)
2703	2020-09-17	0	c(-411077.27938155, -426442.620861386, 5378202.99469088, 5368807.249333)
2763	2020-09-17	18010.378941657997	c(-399422.777656604, -411077.27938155, 5364478.88458756, 5378202.99469088)
2793	2020-09-17	0	c(-403069.606649768, -399422.777656604, 5341322.07945486, 5364478.88458756)
2793	2020-09-17	0	c(-391292.850681981, -403069.606649768, 5327625.11679988, 5341322.07945486)
2793	2020-09-17	0	c(-375933.103946723, -391292.850681981, 5337121.66970313, 5327625.11679988)
2856	2020-09-17	0	c(-364098.38865072, -375933.103946723, 5323488.77193327, 5337121.66970313)
2856	2020-09-17	0	c(-348792.718243794, -364098.38865072, 5333052.57857426, 5323488.77193327)
2919	2020-09-17	18047.990028578628	c(-336900.246310836, -348792.718243794, 5319483.67644925, 5333052.57857426)
