hexid	date	distToFront	geometry
1242	2021-07-03	894460.7032966893	c(-1502368.3337744, -1496912.25404604, 4104944.40030183, 4128634.81344945)
1242	2021-07-03	911164.5807996666	c(-1488190.36613344, -1502368.3337744, 4089241.34708251, 4104944.40030183)
1242	2021-07-03	873968.8567391803	c(-1496912.25404604, -1477381.82750907, 4128634.81344945, 4136605.99907875)
1242	2021-07-03	890841.3978335366	c(-1468632.96760106, -1488190.36613344, 4097265.88981966, 4089241.34708251)
1242	2021-07-03	872055.1097675029	c(-1477381.82750907, -1463280.31363294, 4136605.99907875, 4120940.17520654)
1242	2021-07-03	872055.1097675029	c(-1463280.31363294, -1468632.96760106, 4120940.17520654, 4097265.88981966)
2294	2021-07-03	0	c(-771170.147271822, -767040.15848515, 4651471.63713053, 4674752.64235323)
2294	2021-07-03	0	c(-757930.218162137, -771170.147271822, 4637143.55870969, 4651471.63713053)
2376	2021-07-03	38712.18696914424	c(-743041.247593069, -739139.135088712, 4538718.5819459, 4562014.57899589)
2294	2021-07-03	0	c(-740625.972657123, -757930.218162137, 4646132.319182, 4637143.55870969)
2377	2021-07-03	0	c(-731286.893734227, -727336.883691083, 4608592.56907003, 4631874.55613043)
2376	2021-07-03	61073.17557193125	c(-729460.937331595, -743041.247593069, 4524496.35307539, 4538718.5819459)
2376	2021-07-03	23606.762639130608	c(-739139.135088712, -721758.831349524, 4562014.57899589, 4571083.11604522)
2377	2021-07-03	0	c(-717884.034920088, -731286.893734227, 4594369.70435117, 4608592.56907003)
2294	2021-07-03	0	c(-736600.23521038, -740625.972657123, 4669409.29321449, 4646132.319182)
2377	2021-07-03	0	c(-727336.883691083, -710087.247304221, 4631874.55613043, 4640929.27987766)
2406	2021-07-03	0	c(-710087.247304221, -706165.37342335, 4640929.27987766, 4664202.26194689)
2406	2021-07-03	23601.118387318667	c(-706165.37342335, -689009.007446172, 4664202.26194689, 4673283.55906507)
2376	2021-07-03	61044.99727885504	c(-712043.261529044, -729460.937331595, 4533604.77154474, 4524496.35307539)
2376	2021-07-03	23606.762639130608	c(-721758.831349524, -708243.156641228, 4571083.11604522, 4556895.55760747)
2377	2021-07-03	0	c(-700596.04932493, -717884.034920088, 4603463.95232217, 4594369.70435117)
2376	2021-07-03	38694.420891855676	c(-708243.156641228, -712043.261529044, 4556895.55760747, 4533604.77154474)
2377	2021-07-03	0	c(-696749.161803621, -700596.04932493, 4626741.55516149, 4603463.95232217)
2406	2021-07-03	0	c(-679553.911874113, -696749.161803621, 4635862.01550568, 4626741.55516149)
2406	2021-07-03	37495.566450777325	c(-689009.007446172, -675735.523689041, 4673283.55906507, 4659131.04938954)
2406	2021-07-03	19464.311367938117	c(-675735.523689041, -679553.911874113, 4659131.04938954, 4635862.01550568)
2577	2021-07-03	168613.3515617833	c(-596612.085493807, -592913.55259375, 4765644.35505703, 4788883.14127507)
2577	2021-07-03	168093.63802513463	c(-583480.750749895, -596612.085493807, 4751666.46762789, 4765644.35505703)
2577	2021-07-03	186868.57181391979	c(-592913.55259375, -576188.397580928, 4788883.14127507, 4798141.74593322)
2577	2021-07-03	168093.63802513463	c(-566714.519096205, -583480.750749895, 4760962.52906006, 4751666.46762789)
2577	2021-07-03	205244.7673117369	c(-576188.397580928, -563120.602754857, 4798141.74593322, 4784199.02510933)
2692	2021-07-03	139620.47010227156	c(-557473.081579763, -554065.054690888, 4616941.08838401, 4640194.8533606)
2693	2021-07-03	161110.91314739693	c(-547207.876755794, -543758.825247416, 4686692.62188622, 4709936.62211722)
2577	2021-07-03	186676.65753998095	c(-563120.602754857, -566714.519096205, 4784199.02510933, 4760962.52906006)
2692	2021-07-03	139620.47010227156	c(-543892.189532251, -557473.081579763, 4603099.55190174, 4616941.08838401)
2692	2021-07-03	143316.94127001174	c(-554065.054690888, -537177.972920276, 4640194.8533606, 4649603.39884151)
2693	2021-07-03	161110.91314739693	c(-533800.571494635, -547207.876755794, 4672850.62004831, 4686692.62188622)
2693	2021-07-03	174147.81722820565	c(-543758.825247416, -527005.426798478, 4709936.62211722, 4719335.64979505)
2692	2021-07-03	154674.49140082794	c(-526965.607218376, -543892.189532251, 4612545.59780837, 4603099.55190174)
2692	2021-07-03	161200.5838019628	c(-537177.972920276, -523659.324371011, 4649603.39884151, 4635795.69682146)
2693	2021-07-03	169346.65319522182	c(-517006.760498217, -533800.571494635, 4682286.84004473, 4672850.62004831)
2753	2021-07-03	188129.2361643804	c(-503550.231920327, -517006.760498217, 4668513.04845524, 4682286.84004473)
2693	2021-07-03	193356.15308157395	c(-527005.426798478, -513660.575465716, 4719335.64979505, 4705527.88106427)
2753	2021-07-03	199320.6351496757	c(-513660.575465716, -496960.503837764, 4705527.88106427, 4714992.20537636)
2692	2021-07-03	170375.99776016807	c(-523659.324371011, -526965.607218376, 4635795.69682146, 4612545.59780837)
2753	2021-07-03	197663.05714533365	c(-486809.610094222, -503550.231920327, 4678014.26610559, 4668513.04845524)
2815	2021-07-03	216109.9402144663	c(-473303.980089435, -486809.610094222, 4664308.45515668, 4678014.26610559)
2753	2021-07-03	218411.73300705463	c(-496960.503837764, -483565.978023811, 4714992.20537636, 4701252.39443512)
2815	2021-07-03	225829.4378856655	c(-483565.978023811, -466919.051133062, 4701252.39443512, 4710781.8360092)
2894	2021-07-03	993521.0676525085	c(-570918.772011559, -568444.941793131, 3588806.87234182, 3612151.77063443)
2815	2021-07-03	226581.15810131666	c(-456616.358024, -473303.980089435, 4673874.49772902, 4664308.45515668)
2815	2021-07-03	244713.40089133353	c(-466919.051133062, -453474.974930141, 4710781.8360092, 4697109.76356947)
2894	2021-07-03	1016245.7368276791	c(-554889.43861169, -570918.772011559, 3575330.05741501, 3588806.87234182)
2894	2021-07-03	986744.7642258921	c(-568444.941793131, -550024.352285614, 3612151.77063443, 3622007.44846447)
2815	2021-07-03	244714.68637197872	c(-453474.974930141, -456616.358024, 4697109.76356947, 4673874.49772902)
2894	2021-07-03	1025327.3481044624	c(-536442.603914226, -554889.43861169, 3585223.93793015, 3575330.05741501)
2958	2021-07-03	1025327.3481044624	c(-520381.370017739, -536442.603914226, 3571813.94308601, 3585223.93793015)
2894	2021-07-03	986744.7642258921	c(-550024.352285614, -534051.256492192, 3622007.44846447, 3608556.52923912)
2958	2021-07-03	996630.3109084388	c(-534051.256492192, -515680.922238331, 3608556.52923912, 3618467.10785741)
2958	2021-07-03	1008642.6757410133	c(-501984.470071287, -520381.370017739, 3581762.26733395, 3571813.94308601)
2958	2021-07-03	994320.0943703792	c(-515680.922238331, -499675.28164304, 3618467.10785741, 3605082.93954522)
2958	2021-07-03	994320.0943703792	c(-499675.28164304, -501984.470071287, 3605082.93954522, 3581762.26733395)
4657	2021-07-03	19799.40091083823	c(331509.914214757, 331971.053616422, 4089965.53270124, 4113136.13871566)
4657	2021-07-03	37606.68596809215	c(347408.910585076, 331509.914214757, 4078076.33938262, 4089965.53270124)
4657	2021-07-03	0	c(331971.053616422, 348242.952317436, 4113136.13871566, 4124416.28007524)
4689	2021-07-03	0	c(348242.952317436, 348663.008580203, 4124416.28007524, 4147587.3691214)
4689	2021-07-03	0	c(348663.008580203, 364847.155067975, 4147587.3691214, 4158897.62412568)
4657	2021-07-03	23172.398854182764	c(363722.981522746, 347408.910585076, 4089387.1482685, 4078076.33938262)
4657	2021-07-03	0	c(364095.897031038, 363722.981522746, 4112556.54624688, 4089387.1482685)
4689	2021-07-03	0	c(380322.751309922, 364095.897031038, 4123897.45770394, 4112556.54624688)
4689	2021-07-03	0	c(364847.155067975, 380653.964833215, 4158897.62412568, 4147067.5074433)
4689	2021-07-03	0	c(380653.964833215, 380322.751309922, 4147067.5074433, 4123897.45770394)
4843	2021-07-03	0	c(428144.910974684, 428341.495651097, 4088597.31912847, 4111765.06618518)
4843	2021-07-03	0	c(444173.798180891, 428144.910974684, 4076892.8292639, 4088597.31912847)
4843	2021-07-03	0	c(428341.495651097, 444478.835763819, 4111765.06618518, 4123227.81752758)
4874	2021-07-03	0	c(444478.835763819, 444632.465336281, 4123227.81752758, 4146396.52491806)
4903	2021-07-03	0	c(460032.293677571, 460139.162509478, 4018888.7331475, 4042053.60827331)
4874	2021-07-03	0	c(444632.465336281, 460681.444149891, 4146396.52491806, 4157890.14023166)
4903	2021-07-03	0	c(476236.170979929, 460032.293677571, 4007247.12661271, 4018888.7331475)
4843	2021-07-03	0	c(460354.491835912, 444173.798180891, 4088385.78445401, 4076892.8292639)
4903	2021-07-03	0	c(460139.162509478, 476363.08281027, 4042053.60827331, 4053576.60755746)
4904	2021-07-03	0	c(476427.01148806, 460354.491835912, 4076742.56528786, 4088385.78445401)
4874	2021-07-03	0	c(460681.444149891, 476620.678690283, 4157890.14023166, 4146245.32907034)
4935	2021-07-03	0	c(476620.678690283, 492624.955162003, 4146245.32907034, 4157800.27582349)
4967	2021-07-03	0	c(492624.955162003, 492645.593920611, 4157800.27582349, 4180969.85308222)
4993	2021-07-03	50842.35111137403	c(508910.09832246, 508887.613215888, 3845091.79733816, 3868250.44158628)
4903	2021-07-03	0	c(492503.196034215, 476236.170979929, 4018800.0038582, 4007247.12661271)
4965	2021-07-03	0	c(508750.22810501, 492503.196034215, 4007219.13033675, 4018800.0038582)
4903	2021-07-03	0	c(476363.08281027, 492523.241077028, 4053576.60755746, 4041964.67796563)
4904	2021-07-03	0	c(492563.629718174, 476427.01148806, 4088296.46627686, 4076742.56528786)
4965	2021-07-03	0	c(492523.241077028, 508703.497479745, 4041964.67796563, 4053548.48427967)
4966	2021-07-03	0	c(508679.958087329, 492563.629718174, 4076714.38074594, 4088296.46627686)
4967	2021-07-03	0	c(492645.593920611, 508560.532486636, 4180969.85308222, 4192556.12915863)
4998	2021-07-03	0	c(508560.532486636, 508536.303791392, 4192556.12915863, 4215726.94382599)
4993	2021-07-03	33150.42671853184	c(525496.17243638, 508910.09832246, 3833543.65329024, 3845091.79733816)
4993	2021-07-03	32983.26020416282	c(508887.613215888, 525367.651071736, 3868250.44158628, 3879861.10999379)
4998	2021-07-03	0	c(508536.303791392, 524361.148445186, 4215726.94382599, 4227344.7530926)
