hexid,population,infections,geometry,date,infectionsPC
1,0,0,"list(c(-2373933.46927229, -2391753.19564657, -2391753.19564657, -2373933.46927229, -2356113.74289801, -2356113.74289801, -2373933.46927229, 2255200.75564439, 2265488.97946346, 2286065.42710163, 2296353.6509207, 2286065.42710162, 2265488.97946347, 2255200.75564439))",2020-09-17,NA
2,1274.9564141362796,0.27507653353818545,"list(c(-2356113.74289801, -2373933.46927229, -2373933.46927229, -2356113.74289801, -2338294.01652373, -2338294.01652373, -2356113.74289801, 2100877.39835823, 2111165.62217731, 2131742.06981546, 2142030.29363454, 2131742.06981546, 2111165.62217731, 2100877.39835823))",2020-09-17,2.1575367635178047e-4
3,617.3427325103278,0.05415477928726604,"list(c(-2356113.74289801, -2373933.46927229, -2373933.46927229, -2356113.74289801, -2338294.01652373, -2338294.01652373, -2356113.74289801, 2224336.08418716, 2234624.30800623, 2255200.75564439, 2265488.97946347, 2255200.75564439, 2234624.30800624, 2224336.08418716))",2020-09-17,8.772238893467505e-5
4,318.1706714653455,0.02791069138988975,"list(c(-2356113.74289801, -2373933.46927229, -2373933.46927229, -2356113.74289801, -2338294.01652372, -2338294.01652373, -2356113.74289801, 2286065.42710162, 2296353.6509207, 2316930.09855885, 2327218.32237793, 2316930.09855886, 2296353.6509207, 2286065.42710162))",2020-09-17,8.772238893467505e-5
5,0,0,"list(c(-2338294.01652373, -2356113.74289801, -2356113.74289801, -2338294.01652373, -2320474.29014944, -2320474.29014944, -2338294.01652373, 1946554.04107207, 1956842.26489114, 1977418.7125293, 1987706.93634838, 1977418.7125293, 1956842.26489114, 1946554.04107207))",2020-09-17,NA
6,3993.867931652272,1.7233833782349182,"list(c(-2338294.01652372, -2356113.74289801, -2356113.74289801, -2338294.01652373, -2320474.29014944, -2320474.29014945, -2338294.01652372, 2070012.726901, 2080300.95072007, 2100877.39835823, 2111165.62217731, 2100877.39835823, 2080300.95072007, 2070012.726901))",2020-09-17,4.3150735270356094e-4
7,17680.72419803979,3.81468124628897,"list(c(-2338294.01652373, -2356113.74289801, -2356113.74289801, -2338294.01652373, -2320474.29014944, -2320474.29014944, -2338294.01652373, 2131742.06981546, 2142030.29363454, 2162606.74127269, 2172894.96509177, 2162606.7412727, 2142030.29363454, 2131742.06981546))",2020-09-17,2.1575367635178047e-4
8,78.31614154647399,0.01689699545633817,"list(c(-2338294.01652373, -2356113.74289801, -2356113.74289801, -2338294.01652373, -2320474.29014944, -2320474.29014944, -2338294.01652373, 2193471.41272993, 2203759.636549, 2224336.08418716, 2234624.30800624, 2224336.08418716, 2203759.636549, 2193471.41272993))",2020-09-17,2.1575367635178047e-4
9,4258.054551351704,0.3735267174587374,"list(c(-2338294.01652373, -2356113.74289801, -2356113.74289801, -2338294.01652373, -2320474.29014944, -2320474.29014944, -2338294.01652373, 2255200.75564439, 2265488.97946347, 2286065.42710162, 2296353.6509207, 2286065.42710162, 2265488.97946347, 2255200.75564439))",2020-09-17,8.772238893467505e-5
10,836.4227468410538,0.07337300151220016,"list(c(-2338294.01652372, -2356113.74289801, -2356113.74289801, -2338294.01652373, -2320474.29014944, -2320474.29014944, -2338294.01652372, 2316930.09855886, 2327218.32237793, 2347794.77001609, 2358082.99383516, 2347794.77001609, 2327218.32237793, 2316930.09855886))",2020-09-17,8.772238893467505e-5
