"","hexid","population","fips"
"1","2",1274.95641413628,"06045"
"2","3",617.342732510328,"06023"
"3","4",318.170671465345,"06023"
"4","5",0,"06075"
"5","6",3985.68527468373,"06045"
"6","6",3985.68527468373,"06097"
"7","7",17679.2438276395,"06045"
"8","8",78.316141546474,"06045"
"9","9",4258.0545513517,"06023"
"10","10",836.422746841054,"06023"
"11","11",441.163827519976,"06041"
"12","12",1919.26412062544,"06097"
"13","13",3111.08766634026,"06045"
"14","14",4071.7506273253,"06045"
"15","15",6508.77607791026,"06023"
"16","15",6508.77607791026,"06045"
"17","16",72933.2967069947,"06023"
"18","17",520.320903872546,"06023"
"19","18",1279.14046266525,"06081"
"20","19",2667.04184236383,"06041"
"21","20",48332.7118093032,"06097"
"22","20",48332.7118093032,"06041"
"23","21",12421.5762738484,"06033"
"24","21",12421.5762738484,"06045"
"25","21",12421.5762738484,"06097"
"26","22",15359.576863395,"06045"
"27","23",1264.22464433505,"06023"
"28","23",1264.22464433505,"06045"
"29","23",1264.22464433505,"06105"
"30","24",1865.02159383366,"06023"
"31","24",1865.02159383366,"06105"
"32","25",42854.4715378404,"06023"
"33","26",1303.96554017197,"06023"
"34","26",1303.96554017197,"06015"
"35","27",13524.8923437854,"41015"
"36","27",13524.8923437854,"06015"
"37","28",171.258074789496,"41015"
"38","29",45083.2239786696,"06053"
"39","30",27584.1442862714,"06081"
"40","30",27584.1442862714,"06087"
"41","31",758318.917056986,"06081"
"42","31",758318.917056986,"06075"
"43","32",189882.033128208,"06097"
"44","32",189882.033128208,"06041"
"45","33",65623.1883515084,"06033"
"46","33",65623.1883515084,"06055"
"47","33",65623.1883515084,"06097"
"48","34",48436.4933547425,"06033"
"49","34",48436.4933547425,"06045"
"50","35",2641.37213029291,"06045"
"51","36",971.174278745853,"06023"
"52","36",971.174278745853,"06105"
"53","37",1232.53955265138,"06023"
"54","37",1232.53955265138,"06105"
"55","38",694.830616180896,"06023"
"56","38",694.830616180896,"06015"
"57","39",27050.2635160701,"06015"
"58","40",4784.33994326519,"41015"
"59","41",3197.88895899953,"41015"
"60","41",3197.88895899953,"41011"
"61","42",27.2635545306312,"06053"
"62","43",1954.45926681018,"06053"
"63","44",116232.339409142,"06053"
"64","44",116232.339409142,"06087"
"65","45",789685.452548473,"06001"
"66","45",789685.452548473,"06081"
"67","45",789685.452548473,"06085"
"68","45",789685.452548473,"06087"
"69","46",1418592.0305105,"06001"
"70","46",1418592.0305105,"06013"
"71","46",1418592.0305105,"06041"
"72","46",1418592.0305105,"06075"
"73","47",316344.638303911,"06055"
"74","47",316344.638303911,"06097"
"75","48",47222.3404144425,"06033"
"76","48",47222.3404144425,"06045"
"77","48",47222.3404144425,"06097"
"78","49",343.685428523998,"06033"
"79","49",343.685428523998,"06045"
"80","49",343.685428523998,"06021"
"81","50",75.502289709921,"06045"
"82","50",75.502289709921,"06103"
