"","Days.before.peak","Wave.edge.length","Areal.wave.expansion","median.speed","mean.speed","length greater than max"
"1",63,3251.07872682845,12100,0,2.26158931901163,534.987638592026
"2",62,3436.26675557185,6600,0,1.78215466776545,390.95250512494
"3",61,3395.11386029554,12100,0,3.41597773539405,637.869876782796
"4",60,3353.96096501923,13200,0,2.3477444253578,534.987638592024
"5",59,3724.33702250601,4400,0,0.992677271909658,246.917371657858
"6",58,3868.3721559731,16500,0,3.49451596780918,864.210800802499
"7",57,3868.3721559731,20900,0,3.91764931508976,905.363696078811
"8",56,4074.13663235465,18700,0,4.34977856493359,967.093038993276
"9",55,3868.3721559731,23100,0,3.75347553074277,864.210800802499
"10",54,4156.44242290727,19800,0,5.84352584584762,967.093038993275
"11",53,4094.7130799928,26400,0,4.33088246127721,1028.82238190774
"12",52,4485.66558511774,20900,0,3.54200699075889,987.669486631428
"13",51,4567.97137567036,18700,0,3.20012694176114,884.787248440655
"14",50,4691.43006149929,20900,0,3.86768685743424,987.669486631427
"15",49,4732.5829567756,31900,0,4.79417428255201,1358.04554411822
"16",48,5102.95901426239,28600,0,5.82982826235558,1460.92778230899
"17",47,4917.77098551899,16500,0,4.57285606160051,1111.12817246036
"18",46,4670.85361386114,12100,0,2.56016580667889,720.175667335418
"19",45,4609.12427094667,24200,0,5.13092153031704,1440.35133467083
"20",44,4526.81848039405,16500,0,4.70644227065797,1172.85751537482
"21",43,4465.08913747959,17600,0,3.33738150871124,967.093038993274
"22",42,4423.93624220328,18700,0,4.44338368698313,1275.7397535656
"23",41,4341.63045165066,25300,0,5.71347072596084,1440.35133467084
"24",40,4259.32466109804,15400,0,3.86958519524257,1090.5517248222
"25",39,4259.32466109804,16500,0,5.82744436915047,1522.65712522345
"26",38,4115.28952763096,36300,0,7.14563262966784,1748.99804924316
"27",37,4238.74821345988,35200,0,6.67082536086357,1543.23357286161
"28",36,4423.93624220328,44000,0,8.06984427554427,2139.9505543681
"29",35,4547.3949280322,47300,0,8.26633565615476,1975.33897326285
"30",34,4794.31229969006,35200,0,7.8752966201165,2037.06831617732
"31",33,4588.54782330852,66000,10.2882238190772,12.8534242134973,2839.54977406536
"32",32,4732.5829567756,64900,20.5764476381543,12.5269146669809,2880.70266934167
"33",31,4691.43006149929,44000,0,8.0214470719507,2181.10344964441
"34",30,4712.00650913745,81400,20.5764476381546,16.2395604586764,3436.26675557185
"35",29,4794.31229969006,74800,20.5764476381545,13.4162441073458,3024.73780280875
"36",28,4938.34743315715,94600,20.5764476381548,18.6962430114616,3518.57254612447
"37",27,5144.1119095387,117700,20.5764476381548,21.6886433275056,3950.67794652572
"38",26,5329.2999382821,174900,20.576447638155,42.4007220480651,4465.08913747959
"39",25,5288.14704300578,168300,20.576447638155,29.6128807934798,4547.39492803221
"40",24,6008.3227103412,178200,20.576447638155,31.5544625588251,5308.72349064394
"41",23,5967.1698150649,195800,35.6394527485645,30.3839034082358,5432.18217647287
"42",22,6461.00455838062,226600,35.6394527485645,34.8214662649903,5905.44047215044
"43",21,6378.698767828,203500,35.6394527485645,34.4022274848779,6090.62850089383
"44",20,6193.51073908461,216700,35.6394527485645,32.4930630259123,5802.55823395966
"45",19,6831.38061586741,292600,35.6394527485647,40.5200645708357,6646.19258712401
"46",18,7448.67404501205,277200,35.6394527485648,50.4865465620211,7016.5686446108
"47",17,6028.89915797936,207900,35.6394527485646,37.3160466043679,5864.28757687412
"48",16,5864.28757687412,207900,35.6394527485647,38.3262996071488,5535.06441466364
"49",15,5823.13468159781,224400,35.6394527485648,44.0173913266871,5576.21730993995
"50",14,5884.86402451228,233200,35.6394527485648,43.9834578571032,5740.8288910452
"51",13,5884.86402451228,232100,35.6394527485648,43.586257011985,5720.25244340704
"52",12,5946.59336742674,246400,35.6394527485648,44.1967773437364,5843.71112923597
"53",11,6111.20494853198,260700,35.6394527485648,42.9604164697284,5946.59336742675
"54",10,6522.73390129508,225500,35.6394527485646,37.5328651888374,6378.69876782799
"55",9,6502.15745365693,234300,35.6394527485646,36.1078910951227,6234.66363436092
"56",8,6893.10995878187,239800,35.6394527485646,36.236886529515,6646.19258712401
"57",7,6934.26285405818,233200,35.6394527485646,36.7894959058515,6769.65127295294
"58",6,6522.73390129508,122100,20.5764476381548,18.3956844676089,5061.80611898608
"59",5,6502.15745365693,187000,20.576447638155,29.6352226298663,5864.28757687412
"60",4,6316.96942491353,112200,20.5764476381547,16.3469241432141,4465.08913747959
"61",3,6193.51073908461,108900,20.5764476381547,17.6354555608593,4279.9011087362
"62",2,5926.01691978859,101200,20.5764476381547,15.6156714307679,4177.01887054542
"63",1,5823.13468159781,71500,0,11.4870239210458,3333.38451738107
