GEOID,population
15000US010010201001,636
15000US010010201002,1287
15000US010010202001,810
15000US010010202002,1218
15000US010010203001,2641
15000US010010203002,835
15000US010010204001,653
15000US010010204002,1903
15000US010010204003,705
15000US010010204004,570
15000US010010205001,2150
15000US010010205002,6013
15000US010010205003,1720
15000US010010206001,2555
15000US010010206002,1150
15000US010010207001,2224
15000US010010207002,1805
15000US010010208011,728
15000US010010208012,2098
15000US010010208021,3099
15000US010010208022,4194
15000US010010208023,1909
15000US010010208024,2401
15000US010010209001,1446
15000US010010209002,1345
15000US010010209003,1573
15000US010010209004,2037
15000US010010210001,634
15000US010010210002,1916
15000US010010211001,1522
15000US010010211002,592
15000US010010211003,831
15000US010030101001,577
15000US010030101002,2196
15000US010030101003,1482
15000US010030102001,1436
15000US010030102002,1668
15000US010030103001,3095
15000US010030103002,3677
15000US010030103003,2641
15000US010030104001,1285
15000US010030104002,932
15000US010030104003,2461
15000US010030105001,1609
15000US010030105002,1143
15000US010030105003,1617
15000US010030105004,1075
15000US010030106001,1280
15000US010030106002,838
15000US010030106003,1447
15000US010030107011,3941
15000US010030107012,2402
15000US010030107013,1130
15000US010030107014,851
15000US010030107031,10316
15000US010030107032,9576
15000US010030107041,2396
15000US010030107042,3484
15000US010030107051,5688
15000US010030107052,2200
15000US010030107053,1856
15000US010030108001,1441
15000US010030108002,2539
15000US010030108003,3056
15000US010030109031,1325
15000US010030109032,2454
15000US010030109033,2010
15000US010030109041,2340
15000US010030109042,1448
15000US010030109043,2435
15000US010030109051,2782
15000US010030109052,3633
15000US010030109053,1766
15000US010030109061,2564
15000US010030109062,1473
15000US010030109063,1214
15000US010030110001,1951
15000US010030110002,2561
15000US010030111011,4262
15000US010030111012,2576
15000US010030111013,4257
15000US010030111021,2314
15000US010030111022,2071
15000US010030112011,3182
15000US010030112012,1839
15000US010030112021,2214
15000US010030112022,1101
15000US010030112023,1898
15000US010030112024,790
15000US010030113001,867
15000US010030113002,1764
15000US010030113003,970
15000US010030113004,1320
15000US010030114011,2850
15000US010030114012,1019
15000US010030114013,1483
15000US010030114014,3720
15000US010030114015,2215
15000US010030114031,3581
15000US010030114032,3391
15000US010030114033,3657
15000US010030114051,2766
15000US010030114052,1881
15000US010030114061,859
15000US010030114062,436
15000US010030114063,1803
15000US010030114071,1815
15000US010030114072,927
15000US010030114073,2242
15000US010030114081,620
15000US010030115011,2891
15000US010030115012,895
15000US010030115013,2081
15000US010030115021,5878
15000US010030115022,1569
15000US010030115023,2522
15000US010030115024,2516
15000US010030116011,1579
15000US010030116012,2691
15000US010030116013,715
15000US010030116014,1231
15000US010030116021,1754
15000US010030116022,1267
15000US010030116023,775
15000US010030116024,1762
15000US010039900000,0
15000US010059501001,228
15000US010059501002,1324
15000US010059501003,1417
15000US010059502001,1044
15000US010059502002,1982
15000US010059502003,769
15000US010059503001,624
15000US010059503002,1055
15000US010059504001,824
15000US010059504002,2015
15000US010059504003,983
15000US010059505001,818
15000US010059505002,923
15000US010059505003,1846
15000US010059506001,603
15000US010059506002,1343
15000US010059507001,726
15000US010059507002,917
15000US010059508001,799
15000US010059508002,1548
15000US010059509001,1081
15000US010059509002,1697
15000US010059509003,1216
15000US010070100011,2125
15000US010070100012,321
15000US010070100021,2455
15000US010070100022,1073
15000US010070100023,2513
15000US010070100031,775
15000US010070100032,605
15000US010070100033,1967
15000US010070100034,1484
15000US010070100041,807
15000US010070100042,1846
15000US010070100043,988
15000US010070100044,3580
15000US010070100045,749
15000US010070100046,1239
15000US010090501011,1302
15000US010090501012,1388
15000US010090501013,2196
15000US010090501014,1444
15000US010090501015,1417
15000US010090501021,1259
15000US010090501022,2551
15000US010090501023,1362
15000US010090501024,1901
15000US010090502001,1534
15000US010090502002,2336
15000US010090503001,1180
15000US010090503002,1241
15000US010090503003,1150
15000US010090503004,1178
15000US010090504001,670
15000US010090504002,1656
15000US010090504003,950
15000US010090504004,862
15000US010090505001,903
15000US010090505002,1841
