hexid,fips,proportion_from_fips,proportion_of_fips
1,41015,1,0
10,41015,1,0.43568667525658683
100,41071,1,0.5529088807551531
1000,16001,0.8793737397698969,0.0664855218674056
1000,16027,0.12062626023010319,0.019167883899542947
1001,16045,1,0.6996833216045039
1002,16003,1,0.23289375466533963
1003,16049,1,0
1004,16049,1,0.18246924159882474
1005,16035,0.7280248190279214,0.4888888888888889
1005,16069,0.27197518097207857,0.039297721329846845
1006,16009,1,0.1854501430772617
1007,16055,1,0.012720940073565314
1008,16017,1,0.37653063613589005
1009,16021,1,0.1964672265997056
101,41009,0.6714508580343214,0.08463943678590391
101,41067,0.32854914196567864,0.003619669967223596
1010,06073,1,0
1011,06073,1,1.423020782461602e-4
1012,06065,1,0.11063254682820274
1013,06071,1,0.005832595380846703
1014,06071,1,0
1015,06071,1,0
1016,32023,1,0.13037409907333258
1017,32023,1,0
1018,32023,1,0
1019,32023,1,0
102,53041,1,0.027096572965807635
1020,32023,1,0
1021,32011,1,0.4551912568306011
1022,32011,1,0
1023,32007,1,0
1024,32007,1,0
1025,32007,1,0.022525453571155173
1026,16073,1,0.044609340899170666
1027,16073,1,0.05779135748581406
1028,16001,1,0.814050828154565
1029,16085,1,0.08585712912219978
103,53027,0.48555964494479326,0.1558214181499854
103,53045,0.4732626109547521,0.17452536445941846
103,53067,0.04117774410045465,0.0034621601549416786
1030,16003,0.42482915717539865,0.3712366260263747
1030,16085,0.5751708428246014,0.19421209499086625
1031,16049,1,0
1032,16049,0.6109550561797753,0.15976005386545877
1032,16061,0.3890449438202247,0.43224967490247074
1033,16035,1,0.03900462962962963
1034,16079,1,0.48722656873702697
1035,16017,1,0.023858022523471707
1036,16021,1,0.641007879470084
1037,06025,0.1411192214111922,3.218360189994229e-4
1037,06073,0.8588807785888077,1.0687794387424371e-4
1038,06025,0.8176279447603574,0.02233985883606339
1038,06065,0.18237205523964256,3.7679069989921476e-4
1039,06071,1,0.006287776650231126
104,53031,1,0.03655690951516723
1040,06071,1,0.004630954293150786
