Days,Days before peak,Wave edge length (km),Recruitment rate (km2/day),Median speed (km/day)
1,62,4080.230215,906.5,0
2,61,4011.610169,777,0
3,60,4303.242231,906.5,0
4,59,4313.33611,647.5,0
5,58,5356.93367,1683.5,0
6,57,5365.292295,388.5,0
7,56,6001.421943,1424.5,17.68344645
8,55,7737.866683,2460.5,20.65129414
9,54,8133.784158,1554,21.32141804
10,53,7585.525177,388.5,33.53421209
11,52,8453.736079,2590,20.8995596
12,51,8881.909751,2719.5,35.39923729
13,50,8917.979855,1295,54.4565906
14,49,8930.9403,1554,60.36581382
15,48,8754.367283,1554,70.87156129
16,47,9090.304432,2525.25,70.2843643
17,46,8753.945943,1748.25,85.71088035
18,45,7966.668688,-647.5,91.96777503
19,44,8554.457247,3496.5,45.50485471
20,43,8145.8388,971.25,95.81914479
21,42,9102.842496,2978.5,97.61409264
22,41,8336.625143,-388.5,113.4876503
23,40,8088.568016,1424.5,23.30959081
24,39,7176.425865,712.25,28.34398213
25,38,7627.290975,4014.5,18.13007184
26,37,7081.590766,841.75,28.30291371
27,36,7675.346643,4014.5,20.94955527
28,35,8590.911832,5698,23.46498054
29,34,9203.901548,4338.25,69.83023586
30,33,9494.703713,4597.25,194.1440485
31,32,10139.73023,6086.5,241.3560269
32,31,11052.68095,8482.25,293.0509864
33,30,11696.88644,9971.5,358.4422354
34,29,12748.49177,16122.75,441.9495214
35,28,13217.18466,20202,475.1671022
36,27,12980.47247,23245.25,436.5571032
37,26,12306.95223,21691.25,478.7275872
38,25,12274.36965,22209.25,597.1135577
39,24,13299.87813,32439.75,679.454483
40,23,12671.12031,36972.25,966.2508798
41,22,11409.95603,34900.25,1019.898625
42,21,9206.17174,32634,1089.168529
43,20,7334.725584,37101.75,1237.559009
44,19,6924.223768,36065.75,1551.462134
45,18,2295.332418,55490.75,1911.664637
46,17,961.3874013,11978.75,2016.349196
47,16,0,7122.5,4929.507361
48,15,0,0,0
49,14,0,0,0
50,13,0,0,0
51,12,0,0,0
52,11,0,0,0
53,10,0,0,0
54,9,0,0,0
55,8,0,0,0
56,7,0,0,0
57,6,0,0,0
58,5,0,0,0
59,4,0,0,0
60,3,0,0,0
61,2,0,0,0
62,1,0,0,0
63,0,0,0,0
