i,j
06083,06111
06083,06079
06083,06029
06073,06059
06073,06025
06073,06065
06059,06037
06059,06065
06059,06071
06111,06037
06111,06029
06037,06029
06037,06071
06079,06053
06079,06029
06079,06031
06025,06065
06025,04027
06025,04012
06053,06087
06053,06069
06053,06031
06053,06019
06065,06071
06065,04012
04027,04019
04027,04012
04027,04013
06029,06031
06029,06071
06029,06107
06029,06027
06087,06069
06087,06081
06087,06085
06069,06085
06069,06047
06069,06019
06031,06107
06031,06019
06081,06075
06081,06085
06081,06001
06075,06001
06075,06041
06075,06013
04023,04019
04023,04003
06085,06001
06085,06047
06085,06099
04019,04013
04019,04003
04019,04021
04019,04009
06071,04012
06071,06027
06071,32003
06071,04015
04012,04013
04012,04025
04012,04015
06001,06013
06001,06099
06001,06077
06107,06019
06107,06027
06041,06013
06041,06097
06041,06095
06047,06019
06047,06099
06047,06039
06047,06043
06019,06039
06019,06027
06019,06051
06013,06097
06013,06077
06013,06095
06013,06067
06099,06077
06099,06043
06099,06009
06099,06109
04013,04021
04013,04025
04013,04007
06097,06095
06097,06055
06097,06033
06097,06045
06039,06043
06039,06109
06039,06051
06077,06067
06077,06009
06077,06005
06095,06055
06095,06113
06095,06067
04003,35023
04003,04009
04003,04011
04021,04009
04021,04007
06055,06113
06055,06033
06043,06109
06027,06051
06027,32003
06027,32009
06027,32023
06113,06067
06113,06033
06113,06011
06113,06101
06067,06005
06067,06101
06067,06017
06067,06061
06033,06045
06033,06011
06033,06021
06009,06109
06009,06005
06009,06003
06045,06021
06045,06023
06045,06103
06045,06105
35023,35029
35023,04011
35023,35017
06109,06051
06109,06003
06005,06017
06005,06003
06011,06101
06011,06021
06011,06007
06101,06115
06101,06061
06101,06007
04009,04007
04009,04011
04009,04017
04009,04001
04025,04007
04025,04015
04025,04005
06051,06003
06051,32009
06051,32005
06051,32021
06051,32019
06017,06003
06017,06061
06017,32005
06021,06007
06021,06103
04007,04005
04007,04017
32003,04015
32003,32023
32003,32017
06115,06061
06115,06057
06115,06007
06115,06091
06115,06063
06003,32005
06061,06057
06061,32005
06061,32031
04015,04005
04015,32017
04015,49053
04015,49025
35029,35017
35029,35051
32009,32021
32009,32023
06057,06091
06057,32031
04011,35017
04011,35003
04011,04001
06007,06103
06007,06063
35017,35051
35017,35003
06023,06105
06023,06015
06023,06093
32005,32019
48377,48043
48377,48229
48377,48243
06103,06105
06103,06063
06103,06089
32021,32019
32021,32023
32021,32001
06105,06089
06105,06093
06091,06063
06091,06035
06091,32031
32019,32029
32019,32001
32019,32031
48141,48229
48141,35035
48043,48243
48043,48443
48043,48371
32023,32017
32023,32001
32023,32015
32023,32011
32023,32033
06063,06089
06063,06035
32029,32031
48229,48243
48229,48109
48229,35035
48243,48109
48243,48389
48243,48371
06089,06035
06089,06093
06089,06049
48427,48505
48427,48215
48427,48247
48427,48047
48505,48247
48505,48479
04005,04017
04005,49025
04005,49037
35051,35003
35051,35035
35051,35053
35051,35027
35003,04001
35003,35053
35003,35006
32017,49053
32017,49021
32017,49001
32017,32033
32017,49027
06015,06093
06015,41015
06015,41033
48215,48061
48215,48047
48215,48489
48215,48261
48109,35035
48109,48389
48109,35015
32001,32031
32001,32027
32001,32015
48247,48479
48247,48047
48247,48131
04017,04001
04017,49037
49053,49021
49053,49025
35035,35015
35035,35027
35035,35005
06035,32031
06035,06049
48061,48489
48479,48323
48479,48127
48479,48131
